Title,Subtitle,Ingredients,Cooking tools,Instructions
Sweet and Sour No-Shrimp Bowl,Prep+Cooking time: 45  minutes  Servings: 2,2 cups of cooked millet NO-SHRIMP 4-8 oz Lions Mane Mushrooms ½ cup aquafaba ½ cup almond flour 1 tbls ground flax 2 tbls nutritional yeast ½ tsp salt 1 nori sheet SWEET AND SOUR SAUCE ½ cup unsweetened pineapple juice 2 minced garlic cloves 2 tbsp coconut aminos ⅓-½ cup date paste 2 tbsp apple cider vinegar ¼ cup tomato paste  1 tbsp arrowroot starch VEGGIES 1 cup steamed broccoli ½ cup shredded cabbage ½ cup grate carrot ½ cup cherry tomatoes halved White and/or black sesame seeds to garnish ,Saucepan Baking Sheet Parchment Paper ,"PREPARE THE NO-SHRIMP Break Lions Mane mushrooms into small shrimp size pieces and set them aside.  Mix all dry ingredients in a bowl (except for nori) and mix. In a grinder, process the nori sheet into flakes.  Add to dry ingredients and mix. Set aside the mixture.  In a separate bowl pour the liquid from some drained chickpeas into a bowl and set it aside.  Preheat oven to 375F. Line a baking sheet with parchment paper.  Begin breading Lions Mane pieces by dipping them in aquafaba and then the dry mixture. Place on a parchment-lined baking sheet.  Continue the process until all pieces are nicely breaded. Bake for 30-40 minutes, flipping halfway through. PREPARE SWEET AND SOUR SAUCE Add all ingredients to a saucepan, except for starch. Bring to a simmer. Mix arrowroot starch with 2 tbsp of cold water and gradually add to saucepan while whisking. Mix until the sauce thickens. ASSEMBLE THE BOWL Add cooked  millet or quinoa to a bowl. Toss breaded shrimp with sweet and sour sauce and add to your bowl, along with your veggies. Add extra sweet and sour sauce. Sprinkle with white and/or black sesame seeds. Enjoy! "
Tofu Bowl w/ Thai Peanut Sauce (Soy-free option),Prep+Cooking time: 45  minutes  Servings: 2,Crispy Tofu: 1 14oz brick of firm tofu (drained and patted dry)* 1 tbsp tamari or coconut aminos 2 tbsp nutritional yeast ½ tsp black pepper ¼ tsp garlic granules PEANUT SAUCE  1 ½ cups coconut milk 1 cup peanut butter (no salt or sugar added) 1-4 tbsp red curry paste ½ cup date paste 4 tbsp coconut aminos ½ cup water VEGGIES ½ cup shredded cabbage 1 cup grated carrot 1 cup of sliced mixed bell peppers 1 cup steamed broccoli 2 cups of cooked millet or quinoa Notes: Sub HV Mung Fu for tofu OPTIONAL TO MAKE YOUR OWN… HV Mung-Fu ,"Saucepan Baking Sheet Parchment Paper Mixing Bowls PREPARE THE TOFU Preheat oven to 400F Press the tofu gently to absorb excess water from the tofu. Cut into cubes. Add cubed tofu to a bowl. Add tamari, nutritional yeast, black pepper and garlic granules and mix. Spread evenly on a parchment-lined cookie sheet. Baked for 15 minutes flip and baked for another 10-20 minutes. PREPARE THE SAUCE Add coconut milk and curry paste to the saucepan. Warm until coconut milk melts. Whisk in peanut butter, date paste, coconut aminos, and water. *add more or less water to adjust the consistency of the sauce. ASSEMBLE THE BOWL Add millet or quinoa to a bowl. Top with crispy tofu and your veggies. Generously pour peanut sauce. Sprinkle with chopped oil-free roasted peanuts and fresh cilantro. Enjoy! Roasted Curry Chickpea Bowl Prep and Cooking Time: 25 mins Servings:2 INGREDIENTS Chickpeas 1 ½ cups (1 15oz can) cooked chickpeas  1 tsp curry powder ¼ tsp salt Pepper to taste Veggies 1 cup steamed broccoli florets ½ cup sliced bell peppers ½ cup grated carrot Tahini Sauce ¼ cup tahini ¼-½  cup water 1 clove garlic 2 tbsp lemon juice 3 dates ¼ tsp salt COOKING TOOLS Knife Baking sheet Parchment paper Small pot or steamer ","PREPARE THE CHICKPEAS Drain your chickpeas, do not rinse them. Add curry powder, salt and pepper. Toss to mix. Spread chickpeas out on a parchment-lined baking sheet. Bake on 375 F for 10-15 minutes, or until chickpeas have reached your desired texture. PREPARE THE VEGGIES Cut and lightly steam broccoli florets. Grate the carrots and slice the red bell peppers. MAKING THE SAUCE Combine all ingredients in a blender. Blend until smooth. PUT IT ALL TOGETHER Cook quinoa or millet and add to a bowl.  Top with roasted curry chickpeas and your favorite veggies. Drizzle generously with tahini dressing.  Enjoy! "
Super 7 Bowl,Prep+Cooking time: 30  minutes  Servings: 2,4 cups chopped Red leaf lettuce 1 cup chopped Kale 1 cup Chickpeas 1 cup cherry Tomatoes halved ¼ Red Onion diced ½ cup Cooked mushrooms 2 tbsp Black sesame seeds 2 tbsp Hemp seeds RASPBERRY VINAIGRETTE ½ cup fresh or frozen raspberries ¼ cup balsamic vinegar ¼ cup water ⅓ cup walnuts 4 soft pitted Medjool dates 2 cups cooked tricolor quinoa ,Knife High-Speed Blender Bowl ,PREPARE THE VEGGIES Wash and chop the veggies. PREPARE THE DRESSING Combine ingredients in high-speed blender. Blend until smooth. ASSEMBLE THE BOWL Add cooked quinoa to a bowl. Top with veggies and dressing. Top with sesame seeds and hemp seeds. Enjoy! 
Simple Quinoa and Asparagus Salad,Prep+Cooking time: 30  minutes  Servings: 2,1.5 cups cooked quinoa  ½ lbs asparagus cut into 1 ½ inch pieces and steamed ½ red onion diced small 1 lemon juiced 2 tbsp fresh parsley chopped fine 1 clove garlic minced 1 pint of cherry tomatoes Salt to taste Pepper to taste Optional ½ cup raisins ,Knife Mixing Bowl ,Combine cooked quinoa and the remaining ingredients in a bowl.  Mix to combine.  Enjoy! SANDWICHES AND WRAPS 
Buffalo No-Chicken Sandwich,Prep+Cooking time: 30  minutes  Servings: 1,1 wheat-free burger bun 8 oz Maitake mushrooms* ½ cup breadcrumbs  1/2 cup plant milk + 1 tbsp ground flax ¼ cup arrowroot powder ¼ cup oat flour ½ cup buffalo sauce Vegan Mayo Notes:  Sub Oyster mushrooms for Maitake mushrooms Optional: Coleslaw OPTIONAL TO MAKE YOUR OWN...  HV Almond Breadcrumbs HV Burger Bun HV Mango Buffalo Sauce HV Coleslaw ,Mixing Bowls Air Fryer OR Baking Sheet and Parchment Paper ,"BREAD THE MUSHROOMS Combine arrowroot and oat flour in a bowl. Dip mushroom pieces into liquid, then flour mixture, back in the aquafaba then bread crumbs. Continue until all pieces are nicely coated. Add breaded pieces to the airfryer basket and air fry at 350F for 10-13 minutes or until golden brown. Alternatively bake at 350F for 20 minutes. Remove from the airfryer and brush lightly with oil-free, refined-sugar free buffalo sauce. Return to the airfryer for an additional 5-7 minutes, or bake for additional 10 minutes. Remove from the airfryer, top with extra sauce if desired.  ASSEMBLE THE SANDWICH Add some mayo to your bun. Top with breaded buffalo mushroom. Optionally top with COleslaw or other toppings of choice. Enjoy! "
No-Chick’n Sandwich (NF Option),Prep+Cooking time: 30  minutes  Servings: 2,NO-CHICKEN 12 oz of Maitake mushrooms * 2 wheat-free burger bun ½ cup breadcrumbs  1/2 cup  plant milk + 1 tbsp ground flax ¼ cup arrowroot powder ¼ cup oat flour (third-party certified glyphosate-free oats) JALAPENO CHEESE SAUCE 1 Jalapenos (adjust to taste) ½ cup raw cashews (soaked for min. 2 hours) 1 soft Medjool dates 3 tbsp nutritional yeast ¼ tsp paprika ⅛ tsp turmeric ⅛ tsp cumin ¼ tsp garlic granules ¼  tsp salt  ¼-½ cup water Nut-free options sub 1/2 cup hemp seeds (or sunflower) for cashews Note: Sub Oyster mushrooms for Maitake mushrooms. OPTIONAL TO MAKE YOUR OWN...  HV Almond Breadcrumbs HV Burger Bun ,High-Speed Blender Air Fryer OR Baking Sheet and Parchment Paper Mixing Bowls ,"BREAD YOUR MUSHROOMS Combine arrowroot and oat flour in a bowl. One at a time, dip mushroom pieces into the liquid mixture, then flour mixture, back into the liquid then breadcrumbs. Continue until all pieces are nicely coated. Add breaded mushrooms to the air fryer basket and air fry at 350F for 10-13 minutes or until golden brown. Alternatively bake at 375F for 20 minutes, flipping halfway. PREPARE THE CHEESE SAUCE Roast jalapeno peppers at 350F for 15-20 minutes. Combine all the ingredients in a high-speed blender. Blend until smooth ASSEMBLE YOUR SANDWICH Add breaded mushrooms to a bun. Add desired toppings. Pour a generous amount of jalapeño cheese sauce. Enjoy! "
No-Chick’n Caesar Wrap (NF option),Prep+Cooking time: 30  minutes  Servings: 2,Veggie “Chickn” 12oz fresh oyster mushrooms 1 tsp parsley 1/4 tsp thyme 1/4 tsp oregano 1/2 tsp smoked paprika 1/2 tsp garlic powder 1/4 tsp onion 1/4 tsp mustard 1/2 tsp of salt  Caesar Dressing 1/2 cup cashews 1/4 + 3 tbsp water 2 tbsp lemon juice 2 tbsp nutritional yeast 1/4 tsp dulse flakes 2 cloves garlic 1 pitted Medjool date 1/4 tsp pepper 1 tsp salt  1/2 tsp parsley 2 flatbreads 2 leaves of lettuce ½ cup sprouts ½ cup chopped tomatoes ½ an avocado ,Knife High-Speed Blender Cast Iron Pan ,"PREPARE THE MUSHROOMS Heat pan on medium heat and add mushrooms. Cook until water from mushrooms begins to release. Add seasonings and cook until the water has cooked off and mushrooms begin to brown on some spots. PREPARE THE DRESSING Combine all ingredients in a high-speed blender. Blend until smooth. ASSEMBLE YOUR WRAP Pile your veggie “chick’n” onto your flatbread. Top with lettuce, tomato, avocado, and sprouts. Generously add caesar sauce over top. Enjoy! "
Jerk Pulled Mushroom & Mango Wrap (NF option),Prep+Cooking time: 30  minutes  Servings: 1,1 Flatbread/ Tortilla 12 oz trumpet/king oyster mushrooms * ½ cup jerk sauce ½ ripe mango ½ a plantain ½ an avocado Jalapeño-lime sauce ¼ cup raw cashews (soaked for min. 2 hrs) OR hemp seeds for Nut-Free ¼ cup hemp seeds ¼ cup water  1 tsp apple cider vinegar Juice of half a lime 1 cloves garlic ½ a  jalapeno (seeds removed) ½ a date ½  tsp salt  ¼  cup fresh cilantro  Notes: You may sub LIon’s Mane or Maitake mushrooms for the Oyster mushrooms. OPTIONAL TO MAKE YOUR OWN...  HV Jerk Sauce HV Flatbread ,Knife High-speed Blender Cast Iron Skillet Air Fryer Baking Sheet & Parchment paper ,"PREPARE THE MUSHROOMS Shred mushrooms and add to skillet on medium-high. If sticking add a touch of water until mushrooms release their own liquid. Continue to cook until mushroom liquid has cooked off and mushrooms begin to brown lightly in some areas. Add jerk sauce and mix. PREPARE THE PLANTAIN Peel and cut the plantain into strips. Brush with broth or water and air fry at 375F for 10-15 minutes. Alternatively bake at 375F for 20 minutes, flipping halfway. ASSEMBLE THE WRAP Add jerk mushrooms to your flatbread. Top with plantain, mango and avocado. Drizzle jalapeño-lime sauce. Enjoy! "
Burrito,Prep+Cooking time: 30  minutes  Servings: 2,2 flatbreads or tortillas 1 cup Veggie Ground  1 cup cooked millet ½ cup black beans 2 tbsp tomato paste ¼ tsp garlic ½ tsp paprika ¼ tsp onion powder ¼ tsp cumin ¼ tsp oregano ½ tsp salt ½ a cup of vegan cheese ½ cup chopped tomato ½ an avocado OPTIONAL TO MAKE YOUR OWN...  HV Cheese Sauce HV Flatbread ,"Mixing Bowl In a bowl combine cooked millet, black beans, tomato paste, and spices. On a flatbread, add millet mixture, veggie ground, tomatoes, and avocado. Top with vegan cheese. Enjoy! ",-1
BBQ Jackfruit Sandwich,Prep+Cooking time: 30  minutes  Servings: 2,2 cans jackfruit BBQ sauce (unsweetened and oil-free) ¼ tsp pepper 1 tsp garlic granules ½ tsp fennel powder OPTIONAL TO MAKE YOUR OWN HV Millet Buns HV Cherry BBQ Sauce Instructions: ,-1,"- Rough chop jackfruit to the desired size. - Add jackfruit to pan and cook on medium heat for 1-2 minutes or until moisture cooks off. - Add BBQ sauce, garlic, pepper, and fennel. - Mix and cook on medium heat for 5-7 minutes or until sauce is fragrant and thickens. - Add bbq jackfruit to the bun. Top with coleslaw or other toppings of choice. Enjoy! "
No-Chick’n Salad Wrap,Prep+Cooking time: 30  minutes  Servings: 2,2 flatbreads ½ cup vegan mayo ¼ chopped red onion 1 celery stalk chopped ½ tsp ground fennel ¼ tsp garlic granules  1 tsp salt  Pepper to taste MUSHROOMS 10 oz of fresh oyster mushrooms 1 tsp parsley 1/4 tsp thyme 1/4 tsp oregano 1/2 tsp smoked paprika 1/2 tsp garlic powder 1/4 tsp onion 1/4 tsp mustard Salt to taste OPTIONAL TO MAKE YOUR OWN...  HV Mayo HV Flax Flatbread ,Knife Cast Iron Pan ,"PREPARE THE MUSHROOMS Add mushrooms to a pan on medium-high heat. Cook until water from mushrooms begins to release. Add seasonings and cook until water has cooked off and mushrooms begin to brown on some spots. PREPARE THE NO-CHICK”N SALAD Combine the mushrooms with the remaining ingredients and mix. ASSEMBLE THE WRAP Add No-Chick’n to flatbread, top with any additional toppings of choice. Enjoy! BURGERS "
BBQ Caesar Burger (NF Option),Prep+Cooking time: 20 minutes Servings: 3,"BURGERS 2 cups of veggie ground 2 tbsp psyllium husk powder OR 3 tbsp psyllium husks 2 tbsp arrowroot powder 2 tbsp chickpea flour Caesar Sauce 1/2 cup cashews 1/4 cup + 3 tbsp water 2 tbsp lemon juice 2 tbsp nutritional yeast 1/4 tsp dulse flakes 2 cloves garlic 1 medjool date 1/4 tsp pepper 1 tsp salt 1/2 tsp parsley 1/3 cup oil-free, sugar-free BBQ Sauce 2 Burger Buns Nut-free option- Sub cashews for hemp or sunflower seeds OPTIONAL TO MAKE YOUR OWN… HV Cherry BBQ Sauce HV Millet Burger Bun ",High-Speed Blender Skillet or Baking Sheet Parchment Paper Mixing Bowl ,"MAKE THE BURGERS In a bowl combine veggie ground, psyllium husk, arrowroot powder, and chickpea flour. Shape the mixture into burgers. Alternatively you can use 2-3 tbsp chickpea flour and 1 tbsp ground flax to bind your burgers, but they will be a little less stable. Heat a stick-free skillet over medium-low heat. Brush BBQ Sauce on your burger Cook burgers in a skillet on medium-low for 3-5  minutes or until golden brown. Flip, add more BBQ sauce,  and cook for another 3-5 minutes. OR Preheat the oven to 350 F. Brush burgers with BBQ sauce. Bake for 30 minutes, flipping halfway and brushing the other side of the burger with BBQ sauce. ASSEMBLE THE BURGER Assemble your burger by putting it on a bun, top with caesar dressing . Add favorite toppings if desired. Enjoy! "
Sweet Ranch and Garlic Burger (NF option),Prep+Cooking time: 20 minutes Servings: 3,1 bulb garlic 3 burger buns BURGERS 2 cups of veggie ground 2 tbsp psyllium husk powder OR 3 tbsp psyllium husks 2 tbsp arrowroot powder 2 tbsp chickpea flour RANCH ¼  cup hemp seeds ½  cup raw cashews (soaked for min.2hrs) 1/2 cup water 1 tbsp apple cider vinegar ½  tsp salt ½ tsp garlic granules ½  tsp onion granules 1 tsp dried dill 1 soft pitted Medjool date 2 burger buns Nut-Free Option- Sub 3/4 cup hemp seeds (or sunflower) and 1 cup cannellini beans for cashews OPTIONAL TO MAKE YOUR OWN… HV Millet Burger Bun ,High-Speed Blender Skillet or Baking Sheet Parchment Paper Mixing Bowl ,"ROAST GARLIC Roast garlic bulb by wrapping in parchment paper and baking it at 375 for 30 minutes or until soft and lightly browned. PREPARE RANCH SAUCE Combine all ingredients in a high-speed blender. Blend until smooth. MAKE THE BURGERS In a bowl combine veggie ground, psyllium husk, arrowroot powder, and chickpea flour. Shape the mixture into burgers. Alternatively you can use 2-3 tbsp chickpea flour and 1 tbsp ground flax to bind your burgers, but they will be a little less stable. Heat a well-seasoned skillet over medium-low heat. Cook burgers on medium-low for 3-5  minutes or until golden brown. Flip and cook for another 3-5 minutes. OR Preheat the oven to 350 F. Bake for 30 minutes, flipping halfway. ASSEMBLE THE BURGER Assemble your burger by putting it on a bun. Add favorite toppings. Generously add ranch dressing and roasted garlic.  Enjoy! "
Greek-Style Burger,Prep+Cooking time: 20 minutes Servings: 3,3 burger buns 2 cups of veggie ground 2 tbsp psyllium husk powder OR 3 tbsp psyllium husks 2 tbsp arrowroot powder 2 tbsp chickpea flour 1 clove garlic 2 tbsp shallot 1 tsp oregano ¼ cup of olives halved 4 tbsp fresh mint ½ lime Add salt to your taste 1 cup vegan Tzatziki Sauce OPTIONAL TO MAKE YOUR OWN… HV Tzatziki Sauce HV Millet Burger Bun ,High-Speed Blender Skillet or Baking Sheet Parchment Paper Mixing Bowl ,"MAKE THE BURGERS In a bowl combine veggie ground, ground, flax, and chickpea flour. Mix to combine and add remaining ingredients. Mix again. Shape into burgers. COOK THEM Heat a well-seasoned skillet over medium-low heat. Cook burgers on medium-low for 3-5  minutes or until golden brown. Flip and cook for another 3-5 minutes. OR Preheat the oven to 350 F. Bake for 30 minutes, flipping halfway. ASSEMBLE THE BURGER  Add your burger to your bun. Top with tzatziki sauce, lettuce, tomato, and red onion.  Enjoy! BREAKFAST "
Mixed Berry Breakfast Bars (Nut-free Option),Prep+Cooking time: 50 minutes Servings: 6,"OAT LAYERS 1 ¼ cups oat flour 1 cup rolled oats 3/4 cup mashed very ripe banana 1/4 cup ground flax 1-2 tbsp water 2 tbsp almond butter* ½ tsp cinnamon Pinch of salt FILLING 6oz blueberries (fresh, or frozen (thawed) 6oz raspberries (fresh, or frozen (thawed) 6oz blackberries (fresh or frozen (thawed) ½ cup date paste ½ tsp almond or vanilla extract 1 heaping tablespoon arrowroot powder (Optional) Pinch of sea salt Note: For nut-free sub tahini for almond butter ","8-inch Pan Parchment Paper Mixing Bowls Preheat the oven to 350 F. Line an 8-inch square baking pan with parchment paper. Set aside. PREPARE THE OAT LAYER In a bowl, using a fork, combine oat flour, oats, banana, ground flax, water, almond butter, cinnamon, and salt until combined and crumbly. PREPARE THE FILLING In a bowl, coarsely crush the berries with a fork. Sprinkle the arrowroot over the berries and stir to combine. ASSEMBLE THE BARS Firmly press half of the oat mixture into the prepared pan, evenly pressing down. Spread with the filling. Coarsely crumble the remaining oat mixture over the filling. BAKE ’EM Bake in the preheated oven for 25 to 30 minutes or until the filling is bubbly and the topping is golden.  Cool completely, in the pan, on a wire rack. Refrigerate until cold. Remove from the pan and cut. Enjoy! ",-1
